txn_id,date,account_id,merchant_raw,merchant_norm,amount_cents,currency,category,is_pending,source_file,raw_id
223c0c7978622a36,2025-08-28,amex:cc,Whole Foods,WHOLE FOODS,-24154,USD,groceries,False,seed_generated.csv,
e598b5f3b5f014d8,2025-06-12,boa:chk,At&T,AT&T,-18795,USD,utilities,False,seed_generated.csv,
8f90ff9206ebe6a4,2025-08-28,boa:chk,Costco,COSTCO,-1360,USD,groceries,False,seed_generated.csv,
f84d270548d360a6,2025-07-19,chase:chk,Kroger,KROGER,-5890,USD,groceries,False,seed_generated.csv,
2b3ef7413db27fb4,2025-06-22,chase:chk,Mcdonald'S,MCDONALD'S,-22075,USD,food,False,seed_generated.csv,
9ad8c34db421d0f6,2025-05-29,boa:chk,Home Depot,HOME DEPOT,-12464,USD,other,False,seed_generated.csv,
1a698f736083b18a,2025-08-17,boa:chk,Wifi-Co,WIFI-CO,-14284,USD,utilities,False,seed_generated.csv,
405fb9913d3549fe,2025-06-23,amex:cc,Best Buy,BEST BUY,-22618,USD,other,False,seed_generated.csv,
046d153bfc6ce9c1,2025-08-31,chase:chk,Uber,UBER,-6765,USD,transport,False,seed_generated.csv,
503f5576fc248522,2025-06-30,chase:chk,Direct Deposit University,DIRECT DEPOSIT UNIVERSITY,92498,USD,income,False,seed_generated.csv,
bef09e1153668e7a,2025-06-08,chase:chk,Pg&E,PG&E,-17423,USD,utilities,False,seed_generated.csv,
39e1d21667702824,2025-07-10,amex:cc,Payroll Acme Corp,PAYROLL ACME CORP,393468,USD,income,False,seed_generated.csv,
beda5ce9caa5f44d,2025-08-27,amex:cc,Uber,UBER,-11863,USD,transport,False,seed_generated.csv,
66c10b957faa4197,2025-09-21,amex:cc,Amazon,AMAZON,-27995,USD,other,False,seed_generated.csv,
ecae03a0baee917e,2025-07-02,boa:chk,Kroger,KROGER,-16523,USD,groceries,False,seed_generated.csv,
9b0d64c94b5b6a08,2025-06-19,boa:chk,Steam Games,STEAM GAMES,-8822,USD,entertainment,False,seed_generated.csv,
b4634d8856266b0b,2025-08-18,chase:chk,Whole Foods,WHOLE FOODS,-2185,USD,groceries,False,seed_generated.csv,
4ac528730c442c7d,2025-09-12,chase:chk,Uber,UBER,-1269,USD,transport,False,seed_generated.csv,
c4c924af04f64b0e,2025-06-30,amex:cc,Aldi,ALDI,-27467,USD,groceries,False,seed_generated.csv,
bc989a592adccd44,2025-07-12,amex:cc,Netflix,NETFLIX,-23833,USD,entertainment,False,seed_generated.csv,
1b96a1527e166fa1,2025-06-29,boa:chk,Wifi-Co,WIFI-CO,-5433,USD,utilities,False,seed_generated.csv,
057a428b1a0d380d,2025-08-15,chase:chk,Kroger,KROGER,-5811,USD,groceries,False,seed_generated.csv,
34eb8543ff0246dc,2025-06-15,amex:cc,Target,TARGET,-5551,USD,other,False,seed_generated.csv,
c3525c17242cba2e,2025-09-21,boa:chk,Direct Deposit University,DIRECT DEPOSIT UNIVERSITY,240796,USD,income,False,seed_generated.csv,
feb5f9a3e7e40c17,2025-08-21,amex:cc,Target,TARGET,-18068,USD,other,False,seed_generated.csv,
8be901f481b1c2e4,2025-09-08,chase:chk,Subway,SUBWAY,-21439,USD,food,False,seed_generated.csv,
7f1a37b7d285dfe6,2025-06-29,chase:chk,Amc Theatres,AMC THEATRES,-20269,USD,entertainment,False,seed_generated.csv,
0a081da269dc4fce,2025-09-15,boa:chk,City Water,CITY WATER,-9396,USD,utilities,False,seed_generated.csv,
b3a09e27e03ed5ce,2025-08-17,amex:cc,Netflix,NETFLIX,-29919,USD,entertainment,False,seed_generated.csv,
8ccf5b73507527f6,2025-07-23,chase:chk,Freelance Upwork,FREELANCE UPWORK,397752,USD,income,False,seed_generated.csv,
04373926b6bca98d,2025-06-26,boa:chk,Lyft,LYFT,-9166,USD,transport,False,seed_generated.csv,
